Time,Sample
21,47.06273
22,46.25874
23,49.23948
24,46.20981
25,46.66305
26,47.5055
27,46.83097
28,47.22554
29,47.99686
30,46.32691
31,46.33369
32,48.74324
33,50.71959
34,56.02879
35,60.96744
36,59.8227
37,62.21861
38,58.58738
39,59.00099
40,51.99048
41,54.21678
42,54.38364
43,54.27349
44,53.88851
45,55.1502
46,54.65064
47,53.37111
48,50.63095
49,48.57098
50,44.85452
51,42.67239
52,46.25575
53,50.98962
54,56.21059
55,59.17606
56,59.06876
57,61.49134
58,59.66394
59,58.27104
60,60.58024
61,62.19275
62,62.46634
63,63.64091
64,61.6517
65,61.69384
66,62.54315
67,66.73458
68,64.32601
69,65.44884
70,65.06939
71,65.67647
72,65.38749
73,63.39235
74,64.40296
75,62.8135
76,59.646
77,57.67502
78,49.35983
79,48.26798
80,48.77819
81,49.67229
82,46.73141
83,47.43982
84,45.30455
85,46.58609
86,47.4487
87,47.79285
88,46.25819
89,47.60451
90,49.59347
91,51.58733
92,52.35835
93,53.35847
94,53.2236
95,55.18074
96,57.56548
97,58.14344
98,60.28335
99,59.77916
100,55.91844
101,59.35818
102,49.54613
103,46.41127
104,41.66127
105,39.33578
106,37.69474
107,36.87832
108,28.38656
109,26.88592
110,27.68807
111,31.6696
112,34.20674
113,36.07409
114,34.62005
115,36.80987
116,34.18024
117,33.73437
118,34.8859
119,34.97887
120,37.09266
