Time,Sample
21,25.47914
22,26.42913
23,23.74168
24,24.24677
25,24.74357
26,25.22826
27,24.30847
28,24.36179
29,26.04703
30,27.431
31,25.3259
32,25.57635
33,29.91426
34,32.4155
35,31.96753
36,30.98944
37,29.56856
38,29.99657
39,30.10921
40,31.00966
41,32.8458
42,34.24458
43,32.56281
44,32.22715
45,27.23496
46,27.48178
47,28.12147
48,30.51655
49,33.21254
50,33.8391
51,33.49403
52,32.50618
53,31.01079
54,29.68815
55,28.39215
56,28.59235
57,23.42549
58,22.0566
59,18.5193
60,20.25415
61,23.11524
62,23.91851
63,24.7769
64,26.44438
65,27.15337
66,29.19154
67,29.84374
68,32.24382
69,39.8095
70,42.51814
71,37.95447
72,35.98174
73,36.74466
74,37.33367
75,37.12138
76,35.91448
77,36.65199
78,38.49224
79,41.20318
80,44.36505
81,44.82344
82,43.98033
83,43.07688
84,41.92205
85,43.75904
86,42.67025
87,41.74218
88,39.8233
89,40.49554
90,39.45437
91,37.86682
92,38.09977
93,36.87984
94,36.9926
95,40.3354
96,43.60138
97,43.3774
98,40.915
99,43.95521
100,44.42096
101,41.00288
102,37.92937
103,38.28303
104,38.98673
105,37.49424
106,38.6137
107,35.59747
108,34.7198
109,37.66729
110,37.55883
111,36.02285
112,34.76414
113,29.79478
114,28.76842
115,28.49645
116,28.10682
117,31.02145
118,31.18953
119,33.2072
120,32.81332
