Frame,mixamorig:LeftHand,mixamorig:RightHand,mixamorig:Head
21,0.1172627,0.1531182,0.08736915
22,0.1048962,0.1901589,0.09270468
23,0.0949785,0.1985031,0.09659746
24,0.1005425,0.2073775,0.09765425
25,0.1182683,0.19726,0.09831837
26,0.1440864,0.1706141,0.09320927
27,0.1705662,0.1377741,0.0943679
28,0.2082966,0.1461819,0.1034332
29,0.2111862,0.2097504,0.1107298
30,0.1967557,0.292974,0.1132418
31,0.1920006,0.321174,0.1087668
32,0.1899063,0.2968179,0.112511
33,0.1997587,0.2675155,0.1171364
34,0.1920383,0.2443037,0.1212528
35,0.201965,0.2020191,0.1248027
36,0.2194778,0.1581603,0.1318903
37,0.2102266,0.125289,0.1357467
38,0.1867287,0.1433674,0.1377115
39,0.2204441,0.1564139,0.1335941
40,0.2369051,0.1663222,0.1339491
41,0.2366404,0.2037634,0.129909
42,0.2313681,0.2216875,0.1290964
43,0.191464,0.1953726,0.1300018
44,0.1747095,0.1640042,0.1333477
45,0.2122975,0.1551526,0.1298768
46,0.2509719,0.1463044,0.1264163
47,0.2738872,0.1249547,0.1197633
48,0.2706546,0.103299,0.1179577
49,0.2498445,0.1247481,0.121949
50,0.2272227,0.1566841,0.1286867
51,0.2196979,0.2068742,0.132085
52,0.2110665,0.2563725,0.1331446
53,0.2023029,0.2588057,0.1354722
54,0.2032268,0.2377477,0.137615
55,0.192833,0.2216507,0.140342
56,0.1773549,0.2137965,0.1426347
57,0.1542816,0.2008481,0.1455972
58,0.1439152,0.1814219,0.1467126
59,0.1499192,0.1640753,0.1405309
60,0.1835655,0.1517386,0.1341929
61,0.2254251,0.1804461,0.1340732
62,0.2740279,0.1881734,0.1350087
63,0.2945353,0.156719,0.1292168
64,0.2823892,0.1060119,0.1282183
65,0.2831002,0.09584471,0.1296954
66,0.2845957,0.1132276,0.1412737
67,0.2805625,0.1133935,0.1499088
68,0.2758459,0.1118488,0.157946
69,0.2917382,0.09720564,0.1661853
70,0.3202425,0.08114911,0.1734224
71,0.3274044,0.06325237,0.176039
72,0.3227684,0.06555891,0.1823463
73,0.3016979,0.0595081,0.1920243
74,0.2967634,0.04353794,0.206897
75,0.2902978,0.04466528,0.226102
76,0.2964973,0.06375311,0.2452437
77,0.2732283,0.08189358,0.2600301
78,0.2798038,0.09841608,0.2709653
79,0.2891084,0.07340039,0.2856191
80,0.290476,0.0717721,0.2963783
81,0.276518,0.08814365,0.3040211
82,0.2696488,0.1262957,0.3079529
83,0.2874945,0.1276061,0.3187762
84,0.3038783,0.1250747,0.330504
85,0.2899036,0.1148342,0.340253
86,0.2787273,0.1131021,0.3474866
87,0.2864114,0.1270313,0.3497299
88,0.3318979,0.1574725,0.3446884
89,0.3328423,0.194513,0.338871
90,0.3116941,0.2175671,0.3303287
91,0.3090325,0.2340904,0.3236466
92,0.2997048,0.2421569,0.3200164
93,0.3006292,0.2536085,0.3169811
94,0.2869818,0.2653305,0.3151531
95,0.2749621,0.2685772,0.3118113
96,0.2793318,0.2843721,0.3079911
97,0.2835198,0.315288,0.3011279
98,0.2816659,0.353471,0.2928456
99,0.2502441,0.3777305,0.2951142
100,0.23083,0.3971612,0.2989415
101,0.1883028,0.3723897,0.2933771
102,0.1587148,0.3463354,0.283635
103,0.1622689,0.3475433,0.279219
104,0.1631377,0.3575664,0.2762274
105,0.1246875,0.4013949,0.2822069
106,0.1061703,0.4503919,0.2850729
107,0.1291921,0.4471173,0.2816011
108,0.1388842,0.446615,0.2763856
109,0.1417021,0.4786816,0.2821183
110,0.1427906,0.5084951,0.288402
111,0.1577947,0.5234613,0.2868177
112,0.177206,0.5345925,0.2849181
113,0.2013383,0.5610283,0.2901063
114,0.2240885,0.5968633,0.29078
115,0.2247967,0.5718675,0.2840223
116,0.1875037,0.5051424,0.2778385
117,0.1638904,0.4550774,0.2784245
118,0.1614097,0.4431244,0.2815805
119,0.1625542,0.4291086,0.2862122
120,0.1698256,0.428853,0.2893344
121,0.1914224,0.4169345,0.2882159
122,0.2142004,0.4336962,0.2906699
123,0.2244431,0.4385523,0.2945547
124,0.2378231,0.423502,0.3000463
125,0.2252551,0.4047998,0.3075501
126,0.2048765,0.4092256,0.3139029
127,0.2345254,0.436001,0.3215166
128,0.2587419,0.4582022,0.3322586
129,0.2573089,0.4626669,0.3414051
130,0.24565,0.4808443,0.351653
131,0.2821577,0.521977,0.361927
132,0.3264443,0.5729381,0.3673777
133,0.3642,0.6251298,0.3768501
134,0.3871182,0.6145272,0.3886902
135,0.3830851,0.5810978,0.394704
136,0.343332,0.5350455,0.3981513
137,0.3289592,0.4854049,0.4033891
138,0.328868,0.4605952,0.4056829
139,0.3289959,0.4390958,0.4090146
140,0.3207769,0.4239914,0.4110838
141,0.3207079,0.4205089,0.4138474
142,0.3349628,0.4163718,0.416684
143,0.3484827,0.4151832,0.4232093
144,0.3503373,0.4289185,0.4294629
145,0.3096152,0.42709,0.4382947
146,0.2854436,0.4106146,0.4400901
147,0.3123373,0.3620411,0.4427578
148,0.3501431,0.3389518,0.4463204
149,0.3630594,0.3297299,0.4447534
150,0.3573053,0.3402679,0.4401041
151,0.3326335,0.3453796,0.4392788
152,0.3097219,0.3634112,0.4316546
153,0.3106482,0.3805463,0.4318918
154,0.3183663,0.361981,0.4362072
155,0.3294417,0.3326643,0.4356123
156,0.356639,0.306565,0.432759
157,0.368702,0.2710727,0.4307641
158,0.3705011,0.2568041,0.4283661
159,0.3609625,0.2544855,0.424867
160,0.3505709,0.2652771,0.4237838
161,0.3596444,0.2818069,0.4223861
162,0.3809313,0.2863983,0.4222507
163,0.3942792,0.2601814,0.4258309
164,0.4278517,0.2328096,0.4295603
165,0.4267045,0.2428226,0.4354125
166,0.458269,0.2764722,0.4365431
167,0.4908883,0.2964201,0.4317292
168,0.480674,0.3003709,0.4257964
169,0.5314929,0.2542801,0.4232192
170,0.6120703,0.2319182,0.4215845
171,0.6043632,0.2182921,0.4196568
172,0.6255935,0.2208355,0.4226434
173,0.6355994,0.2388752,0.4251136
174,0.6469437,0.2747395,0.4305181
175,0.6425793,0.3017427,0.4395809
176,0.6359535,0.3095336,0.4488635
177,0.6256413,0.3292862,0.4532822
178,0.600702,0.3625649,0.4541894
179,0.5946997,0.3927833,0.4605504
180,0.6127236,0.4136027,0.4698163
181,0.60995,0.380346,0.4753033
182,0.603669,0.3194215,0.4822826
183,0.5734401,0.2370344,0.4868979
184,0.53614,0.1996527,0.4853259
185,0.5001088,0.210256,0.4868995
186,0.4839448,0.2239734,0.4899183
187,0.4893501,0.2211483,0.4859744
188,0.4863271,0.214136,0.4794535
189,0.490135,0.2256262,0.4780913
190,0.5178484,0.2576467,0.4762053
191,0.5509835,0.2865992,0.4711736
192,0.5550874,0.3155781,0.4652429
193,0.5545472,0.3429863,0.4606954
194,0.5447992,0.3612441,0.4646142
195,0.5045078,0.3522661,0.4639598
196,0.465576,0.3474506,0.4601586
197,0.45847,0.3579474,0.4663719
198,0.446914,0.3870295,0.4738018
199,0.4324779,0.4088351,0.4762277
200,0.4317877,0.4349965,0.478741
201,0.4341631,0.4573561,0.4824418
202,0.4477483,0.4742759,0.4866573
203,0.4585533,0.4891249,0.487479
204,0.465658,0.5079098,0.4877346
205,0.4623866,0.5307198,0.4868575
206,0.456745,0.5541493,0.4853739
207,0.445651,0.5474764,0.4875979
208,0.4275953,0.5262876,0.4917348
209,0.417704,0.5185029,0.5000058
210,0.4181969,0.5092908,0.5107501
211,0.4162491,0.4951539,0.5170573
212,0.4092991,0.4783248,0.5232238
213,0.4092559,0.4636213,0.5290835
214,0.3941933,0.4585497,0.5297862
215,0.3887737,0.45728,0.5360057
216,0.3993191,0.4778235,0.5503815
217,0.4242937,0.5276873,0.5558151
218,0.4649715,0.5937455,0.5584893
219,0.4721667,0.5811741,0.5552173
220,0.4593674,0.5441366,0.5515496
221,0.4075347,0.5247756,0.5567747
222,0.3999024,0.5164939,0.5603936
223,0.4188802,0.544583,0.5628158
224,0.4375517,0.6095238,0.5637754
225,0.3997349,0.6254278,0.5566598
226,0.3743301,0.634133,0.5518868
227,0.3791001,0.6506537,0.5585555
228,0.3721766,0.6853161,0.5673783
229,0.4116736,0.7163042,0.568536
230,0.4439811,0.7237269,0.5712906
231,0.4607325,0.7274645,0.5665462
232,0.4773284,0.7185025,0.5687461
233,0.4882704,0.7101249,0.566938
234,0.5037929,0.7482405,0.5716891
235,0.5169124,0.7346693,0.5786196
236,0.5184401,0.6977224,0.5839089
237,0.5465073,0.6744624,0.5923274
