Time,Sample
21,30.01569
22,32.77293
23,35.28574
24,35.72674
25,37.45784
26,38.6379
27,39.77013
28,39.68955
29,39.73645
30,40.56065
31,39.31542
32,36.97188
33,36.18915
34,35.33366
35,35.70324
36,36.86157
37,38.34765
38,36.36507
39,36.14045
40,35.54358
41,37.3909
42,39.28805
43,37.52038
44,39.91235
45,36.83441
46,35.1746
47,33.89904
48,36.05885
49,35.55733
50,35.53955
51,36.41753
52,39.78899
53,39.00632
54,39.63392
55,38.00695
56,38.26328
57,38.9197
58,38.14017
59,38.6813
60,38.08399
61,38.86736
62,40.55222
63,42.42937
64,43.83173
65,46.47522
66,48.01748
67,51.20967
68,51.83104
69,55.53291
70,58.78607
71,60.8143
72,59.67585
73,61.13454
74,62.27275
75,62.78999
76,65.26192
77,65.47808
78,65.13229
79,65.04627
80,63.4735
81,62.51776
82,58.98029
83,58.43231
84,56.80121
85,56.59343
86,57.55499
87,58.2715
88,55.99227
89,55.61853
90,58.86553
91,59.22563
92,55.45244
93,55.75192
94,55.11429
95,56.37779
96,56.03622
97,57.65705
98,58.78942
99,57.5098
100,54.80964
101,54.08209
102,52.42823
103,51.57139
104,53.55995
105,54.80556
106,60.11664
107,60.40871
108,59.27079
109,60.65388
110,61.13919
111,62.21469
112,61.89281
113,64.47317
114,66.78799
115,68.43349
116,71.60079
117,73.89486
118,77.65105
119,80.10992
120,85.01855
