Time,Sample
21,35.55491
22,37.17143
23,39.09917
24,39.01664
25,38.9062
26,39.1686
27,41.32395
28,40.56623
29,42.00073
30,41.63708
31,41.37872
32,41.15876
33,41.43296
34,43.30603
35,44.82257
36,45.44448
37,45.75664
38,45.27371
39,44.99613
40,43.33292
41,45.52431
42,45.26889
43,44.20369
44,42.87097
45,42.31565
46,42.81073
47,42.58604
48,44.33065
49,44.49105
50,44.75415
51,46.96125
52,48.88576
53,49.87495
54,50.81398
55,51.60591
56,50.51211
57,49.97848
58,49.99007
59,49.83057
60,50.59751
61,49.48727
62,50.55227
63,50.25726
64,46.17001
65,44.73177
66,42.97959
67,43.3784
68,41.22933
69,41.10662
70,42.34158
71,41.99338
72,41.3112
73,39.9093
74,38.04006
75,38.09664
76,38.1844
77,36.98604
78,35.27917
79,34.9602
80,34.66526
81,34.91818
82,34.14354
83,34.31948
84,33.28137
85,34.74784
86,35.91265
87,36.38661
88,36.56741
89,36.31877
90,36.49293
91,37.13585
92,36.39909
93,36.35501
94,36.8078
95,37.29703
96,36.97248
97,37.69026
98,39.04221
99,38.04213
100,38.01502
101,39.64734
102,41.5624
103,43.06226
104,41.339
105,41.53514
106,38.15284
107,39.52731
108,35.44472
109,37.27863
110,38.56435
111,40.42699
112,40.04156
113,40.32715
114,40.90209
115,41.57543
116,43.65953
117,44.48465
118,45.08319
119,45.61402
120,46.99948
